"   ","OID","NAME","LONGDESC","LONGDESC_EXT1"
"1","1081145302","Private hire car driver's licence (Scotland)","<p>To drive a private hire car in Scotland, a private hire car drivers' licence or a taxi drivers' licence must be obtained from your local authority.</p>
",""
"2","1081145317","Taxi drivers' licence (Scotland)","<p>To drive a taxi in Scotland, a taxi driver's licence must be obtained from the local authority.</p>
",""
"3","1081145084","Private hire car licence (Scotland)","<p>To operate a vehicle as a private hire car, a private hire car licence must be obtained from your local authority.</p>
",""
"4","1081145168","Taxi licence (Scotland)","<p>To operate a vehicle as a taxi, a taxi licence must be obtained from your local authority.</p>
",""
"5","1079680861","Licence to import live crustaceans (Scotland)","<p>For imports within the EU, no licence is required, but the Fish Health Inspectors of the Fisheries Research Services (FRS) must be informed at least 24 hours prior to the proposed movement. For more information, you can call the Marine Scotland Helpline on Tel 01224 876544.</p>",""
"6","1087214251","Fishing Licence (Northern Ireland)","<p>If you fish for salmon, eels or freshwater fish in Northern Ireland you must have a licence from the appropriate regulatory body.</p>

<p>The appropriate regulatory body will depend on where you wish to fish and will be either the Department of Culture, Arts and Leisure (DCAL) or the Loughs Agency of the Foyle, Carlingford and Irish Lights Commissions (FCILC).</p>

<p>You must also have a permit from the fishery owner.</p>

<p>You must comply with any terms and conditions attached to a licence and permit.</p>
",""
"7","1075315649","Art therapist registration (All UK)","<p>To practise as an art therapist in the UK, you need to register with the Health Professions Council (HPC).</p>

<p>This includes using any of the following protected titles:</p>

<ul class=""circlebullet"">
<li>art psychotherapist</li>

<li>art therapist</li>

<li>drama therapist</li>

<li>music therapist</li>
</ul>

<p>To be eligible to apply for registration, you must:</p>

<ul class=""circlebullet"">
<li>hold an approved qualification</li>

<li>be in good physical and mental health</li>

<li>be of good character</li>
</ul>

<p>You must enclose a fee and any necessary supporting documents - eg qualifications and a character reference - with your application.</p>

<p>The registration fee for the two-year registration cycle is &pound;152 (&pound;76 per year) and there is a one off non-refundable scrutiny fee of &pound;53. The registration fee is reduced by 50 per cent. For the first two-year registration period.</p>

<p>Further information is available in the downloadable application pack on the HPC website.</p>

<p>If your application is successful, your name will be added to the register and you will receive a registration certificate and authentication card.</p>

<p>You must undertake continuing professional development (CPD) activities as a condition of your registration. You must keep a written record these activities, including any supporting evidence, and submit this for inspection by the HPC on request.</p>

<p>If the HPC is not satisfied that you are meeting your CPD obligations, your name may be removed from the register.</p>

<p>It is a criminal offence to call yourself an art psychotherapist, art therapist, drama therapist or a music therapist if you are not registered with the HPC. If you do so, you may be fined up to &pound;5,000.</p>",""
"8","1075327974","Adventure activities licence (England, Scotland and Wales)","<p>If you provide adventure activities - ie climbing, caving, trekking or watersports - for young people under 18 years of age and charge for them, you must be licensed by the Adventure Activities Licensing Authority (AALA).&nbsp;</p>",""
"9","1075327977","Animal movement licence (England)","<p>You must not move cattle, deer, goats, pigs or sheep from any premises unless the movement is made under the authority of a General Movement Licence for each species from the Department for Environment, Food and Rural Affairs (Defra). All movements must also comply with the conditions of the licence.</p>

<p>In addition, all movements of deer, sheep and goats must be accompanied by a completed Animal Movement Licence Document (AML) obtained from your local authority.&nbsp;Pigs must be accompanied by the AML movement document (until 31/03/11) or a haulier summary introduced with the electronic pig reporting system called eAML2 (operated by the British Pig Executive) from&nbsp; 01/10/11.</p>

<p>Cattle must be accompanied by their passports and all cattle movements must be notified to the British Cattle Movement Service within three days of the movement taking place.</p>

<p>Any animal movement will also trigger a six day standstill (or 20 days for pigs) on the premises of destination where other movements are prohibited unless an exception applies.</p>",""
"10","1075327970","Mixing ammonium nitrate (with fuel oil) licence (All UK)","<p>Unless it is for immediate use at a mine or quarry, you need a manufacturing licence to combine ammonium nitrate and fuel oil to create mixtures for use in certain blasting operations.</p>

<p>Licences are obtained from the Health &amp; Safety Executive (HSE) in England, Wales and Scotland. In Northern Ireland you need a licence from the Northern Ireland Office (NIO).</p>",""
"11","1074535039","Gas supplier, transporter, shipper or interconnector licence (England, Scotland &amp; Wales)","<p>You must obtain a licence from the Office of Gas and Electricity Markets (Ofgem) if you carry out any of the following gas related activities in England, Scotland or Wales:</p>

<ul>
<li>supply gas by pipes to any premises</li>

<li>convey gas through pipes to premises or to another pipeline system</li>

<li>operate as a gas shipper (to introduce gas into, convey gas through or take gas out of a pipeline system operated by another gas transporter)</li>

<li>operate a gas interconnector&nbsp; (co-ordinating the conveyance of gas into or through a gas interconnector or making such an interconnector available for conveying gas)</li>
</ul>

<p>Applications can be made online. You can also apply in writing by completing the application form available from Ofgem which may be returned to Ofgem by post or email.</p>

<p>A fee of between &pound;350 and &pound;1,050 will be payable depending on the activities covered by the licence.</p>

<p>You will be required to provide detailed information on the application form including:</p>

<ul>
<li>your contact details</li>

<li>details about your company and its directors</li>

<li>details of the ultimate holding company and directors, if applicable</li>

<li>shareholder details</li>

<li>previous applications and licences held</li>

<li>details of modifications that you wish to request to the standard conditions</li>

<li>any criminal convictions</li>

<li>how you propose to start your business</li>

<li>details relating to the specific activities relating to the licence</li>
</ul>

<p>Ofgem may contact you to request additional documents to support your application, including details of your bank account, solicitors and auditors.</p>

<p>If you are required to attend an interview you may be asked to provide the following original company documentation:</p>

<ul>
<li>incorporation documents</li>

<li>resolutions</li>

<li>minutes from meetings</li>

<li>annual returns and accounts</li>

<li>forms appointing and resigning directors</li>

<li>register of directors</li>

<li>register of members</li>
</ul>

<p>Your application will not be processed until all relevant information and documents have been received by Ofgem and the fee has been cleared.</p>

<p>Once Ofgem considers that your application is complete they will provide you with a template with suggested wording for your notice of application. You must arrange for this to be published on either your own website, with a link to this on the Ofgem website, or the Ofgem website, within ten working days. The notice must be published for at least 28 days.</p>

<p>Your application may be refused if, amongst other things:</p>

<ul>
<li>you are insolvent</li>

<li>any persons named in the application are disqualified from being involved in company affairs or have relevant unspent convictions</li>

<li>you have previously had a licence revoked or refused</li>
</ul>

<p>Ofgem aim to make a decision about your application for gas shipper or supply licences within 45 working days after they send you notice that your application has been 'duly made'. Applications for other types of gas licences may take longer.<br />
</p>",""
"12","1074535057","Generation, transmission, distribution and supply of electricity licence (England, Scotland &amp; Wales)","<p>To generate, transmit, distribute or supply electricity you need a licence from the Office of Gas and Electricity Markets (Ofgem) in England, Scotland and Wales.</p>",""
"13","1074535062","Gold and silver agreement for lease (England &amp; Wales) ","<p>Gold and silver are classed as 'Mines Royal'. This means that in most cases they belong to the Crown. Because of this, if you intend to carry out gold and silver exploration for commercial gain, you should contact The Crown Estate.</p>

<p>You will also need permission from The Crown Estate to take away gold that you may have found or discovered, whatever the method you have used. However, if you find gold through panning it is unlikely that The Crown Estate will grant you permission to take it away.</p>

<p>The Crown Estate may sometimes grant you a lease of Mines Royal within a specific area. However, you will still have to get rights of access to this land from the landowner.</p>

<p>If you want to commercially exploit any Mines Royal, you should contact Wardell Armstrong LLP - The Crown Estate Mineral Agent.</p>",""
