id,vid,nid,title,additional_information,eligibility,evaluation,long_description,max_turnover,max_business_age,max_employees,max_grant_value,min_turnover,min_business_age,min_employees,min_grant_value,organiser,short_description,url,will_continue_on,contact_details
826,21258,12996,"Expert Help - Fife","<p>Expert Help will fully-fund their support if appropriate. Otherwise, they would give part-funding to the maximum amount. Access to support is dependent on the outcome of a business review.</p>","<p>Businesses based in Fife that employ up to 50 employees would qualify for this programme.</p><p>Your business would need to be in the areas of manufacturing, tourism or the provision of services (mainly to other businesses) to be eligible.</p><p>Your business would also need to demonstrate commercial viability with growth potential.</p>",,"<p>Expert Help is an initiative that allows you to bring in external specialist support where it is needed. Potentially, it would provide full funding. The areas that this initiative would help includes the following:</p><ul><li>marketing</li><li>sales</li><li>PR and communications</li><li>human resources</li><li>process improvements</li><li>quality</li><li>environmental</li><li>web strategy</li><li>financial strategy</li><li>business planning (for funding applications for new projects)</li></ul>",,0,50,1500,,0,1,0,"Impact 21",,http://www.impact21.co.uk/index.php/business-support/develop-your-business,"Impact 21 website","Shou Ling Cheung"
827,21062,12997,"The Community Generation Fund",,"<p><strong>Social Enterprise Structure</strong></p><p>The proposed borrower (and owner of the project) must be a “body corporate” ie. a distinct legal entity rather than one or more individuals. Likely legal status of borrowers will be:</p><ul><li>Community Interest Company</li><li>Industrial and Provident Society (BenCom)</li><li>Company limited by guarantee (with social purpose)</li><li>Charity</li></ul><p><strong>Community Benefit</strong></p><p>Primary ownership and/or economic benefit of the project will be held for the benefit of the local community entity or similar not-for-profit entity/charity</p><p>Each applicant will be required to declare its intended use and impact of surplus cash flows.</p><p><strong>Social Ranking</strong></p><p>Location of Main Beneficiary Group will rank within the 50 per cent most deprived locations, as listed in latest available Indices of Deprivation</p><p>Applications within the 20 per cent most deprived locations are particularly encouraged, although technical and financial viability will remain the overriding assessment factor.</p>",,"<p>The Community Generation Fund (CGF) is a loan fund designed to help social enterprises and other community focused organisations finance renewable energy projects.&nbsp; Two types of loan are available:</p><p><strong>Development Loans</strong></p><p>Contingently repayable loans for design, environmental and other external costs involved in achieving the required planning and other consents/licenses.</p><p><strong>Construction Loans</strong></p><p>Long-term loans for equipment, construction and commissioning costs (post planning consent) either stand-alone or alongside bank finance.</p>",,0,0,200000,,0,0,25000,"The FSE Group",,http://thefsegroup.com/funding/social-funds/community-generation-fund/?id=58,"The FSE Group website","Riverside House, 4 Meadows Business Park, Station Approach, Blackwater, Camberley, Surrey, GU17 9AB
(0)1276 608532   
Jon.destehoare@thefsegroup.com"
828,20257,12999,"Town Centre Business Grant Programme – North Lanarkshire",,"<p>Town centre business grant programme supports retailers who employ fewer than 35 people and based in North Lanarkshire.</p>","<p>Grants of up to £1000 are available.</p>","<p>This scheme offers independent retailers financial grant assistance and support. Flexible and adaptable support is available for business development opportunities and staff training within North Lanarkshire’s town centres.</p>",,0,35,1000,,0,0,0,"North Lanarkshire Council",,http://www.lanarkshire.com/lanarkshire-town-centre-business-grant/,"North Lanarkshire Council website","North Lanarkshire Council, Town Centre Activities"
829,21316,13000,"Lanarkshire business consultancy support – South Lanarkshire",,"<p>This programme is available to small and medium sized businesses with 250 employees or less based in North Lanarkshire only.</p><p>Sectoral restrictions may apply.</p>",,"<p>This programme provides grant funding for a wide range of consultancy services, such as business planning and development of marketing strategies.</p><p>Grants of up to 50% of total costs, with a maximum of £3,000 are available to small to medium sized businesses with 250 employees or less. Sectoral restrictions may apply.</p>",,0,250,3000,,0,0,0,"Lanarkshire's business development and support services",,http://www.lanarkshire.com/lanarkshire-business-consultancy-support/,"Lanarkshire's business development and support services website","South Lanarkshire Council (Business Services Team)
Enterprise Resources, Regeneration Services, Economic Development, Montrose House
154 Montrose Crescent, Hamilton, ML3 6LB 01698 302198"
830,19555,13004,"New Employment Wage Subsidy – West Dunbartonshire","<p>The subsidy is payable for a maximum of 26 weeks and covers 50 percent of the employee’s gross wages. The maximum amount payable is £140 per week.</p><p>Companies can receive support for up to 3 employees per business in any financial year. The subsidy covers the basic wage only and does not include overtime or bonus payments.</p>","<p>The New Employment Wage Subsidy is targeted towards the unemployed, which includes the following groups:</p><ul><li>Those with no or low qualifications and multiple barriers to entering employment or self employment, and remaining in a job</li><li>16-19 year olds not in education, employment or training, in particular young people leaving care, young offenders and young people abusing drugs or alcohol</li><li>Older people looking to re-enter the labour force or needing to learn new skills to enable them to remain in the workforce</li></ul><p>The grant programme helps employers who recruit from these groups and need support in retaining and developing these employees. Businesses must meet the following criteria:</p><ul><li>Be located inWest Dunbartonshireand employ less than 250 people</li><li>Not owe any debts to the council</li><li>Be a resident ofWest Dunbartonshire</li><li>Provide evidence of creating a job</li><li>Provide evidence from the employee that they are unemployed</li><li>Not be receiving any other funding towards wage costs for employees they intend to employ under this programme</li></ul><p>Those employed under this programme must work between 16 and 40 hours a week in the business. The subsidy will support up to £7.00 per hour and the employee’s wage must be above the minimum wage.</p><p>Those who are not eligible for the New Employment Wage Subsidy include:</p><ul><li>Companies which have recently made redundancies or are planning redundancies</li><li>Public sector organisations</li></ul>","<p>There is a two-stage application process:</p><ol><li>The first stage application process must be made by the company, not the individual.</li><li>The second stage application must be accompanied with proof that individuals who will be employed under the programme are currently unemployed.</li></ol>","<p>This programme provides financial incentives to companies who employ individuals who are&nbsp;currently unemployed.</p>",,0,249,0,,0,1,0,"West Dunbartonshire Council",,http://www.west-dunbarton.gov.uk/business-and-trade/financial-support/new-employment-wage-subsidy/,"West Dunbartonshire Council website","West Dunbartonshire Council
Economic Development
Garshake Road                                                                               
Dumbarton
G82 3PU
01389-737777, usiness.support@west-dunbarton.gov.uk"
831,21329,13005,"Business Innovation of the Year Award - Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to businesses that have developed and launched an innovative product onto the market in the last year.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards ",,http://www.cornwallbusinessawards.co.uk/awards/award-information/35/business_innovation_of_the_year_.html,"Cornwall Business Awards  website","Cornwall Business Awards  
Pydar House 
Pydar Street 
Truro 
info@cornwallbusinessawards.co.uk 01872 322 807"
832,21328,13006,"Best Diversification Award - Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to businesses that can demonstrate they have a new venture that represents a diversification from previous or main business activity.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards",,http://www.cornwallbusinessawards.co.uk/awards/award-information/33/best_diversification.html,"Cornwall Business Awards website","Cornwall Business Awards  
1 Pydar House  
2 Pydar Street 
Truro 
TR1 1EA 
info@cornwallbusinessawards.co.uk 01872 322 807"
833,21327,13007,"Best New Business In Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to successful businesses that have recently started up or relocated to Cornwall.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards ",,http://www.cornwallbusinessawards.co.uk/awards/award-information/24/best_new_business_in_cornwall.html,"Cornwall Business Awards  website","Cornwall Business Awards  
Pydar House 
Pydar Street 
Truro 
TR1 1EA  
info@cornwallbusinessawards.co.uk 01872 322 807"
834,21326,13008,"Entrepreneur of the Year Award - Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to an outstanding individual who in the last year has best demonstrated exceptional vision and leadership in the development of an owner-managed business.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards ",,http://www.cornwallbusinessawards.co.uk/awards/award-information/36/entrepreneur_of_the_year.html,"Cornwall Business Awards  website","Cornwall Business Awards  
Pydar House 
Pydar Street 
Truro TR1 1EA  
info@cornwallbusinessawards.co.uk 01872 322 807"
835,21325,13009,"Business Leader of the Year Award - Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to an individual that has improved performance for its employees, customers, suppliers and shareholders.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards ",,http://www.cornwallbusinessawards.co.uk/awards/award-information/29/business_leader_of_the_year.html,"Cornwall Business Awards  website"," Cornwall Business Awards  
Pydar House 
Pydar Street 
Truro 
TR1 1EA  
info@cornwallbusinessawards.co.uk 01872 322 807"
836,21324,13010,"Young Businessperson of the Year - Cornwall","<p>These awards are held annually. For further details of opening and closing dates please consult the website.</p>","<p>Applicants must be based in Cornwall.</p>",,"<p>The scheme provides recognition to a business person under the age of 30 who has demonstrated ambition, energy, skill and vision, as well as tangible business success.</p>",,0,249,0,,0,1,0,"Cornwall Business Awards ",,http://www.cornwallbusinessawards.co.uk/awards/award-information/23/young_business_person_of_the_year.html,"Cornwall Business Awards  website","Cornwall Business Awards  
Pydar House 
Pydar Street 
Truro 
info@cornwallbusinessawards.co.uk 01872 322 807
 
 
TR1 1EA  
"
837,19628,13011,"Social Impact Co-Investment Fund","<p>The Fund may be able to assist with finding a business angel to fulfil the matched funding requirement.</p>","<p>The fund will consider propositions from entities that have a proven concept to deliver both a financial return and a disruptive social and/or environmental impact. Matched funding, in the form of an equity investment or loan, from a business angel is required.</p><p>There must be a clearly defined expansion plan than requires external funding.</p><p>Financial returns to management/founders are a function of success of delivering social impact rather than the main purpose.</p><p>Surplus profits must be retained in the entity rather than distributed to the owners.</p><p><span style=""font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-GB; mso-bidi-language: AR-SA;""></span></p>","<p>A pre-application should be submitted to enable the fund to assess eligibility and suitability. The fund will invite a full application in appropriate cases.</p>","<p><span style=""font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-GB; mso-fareast-language: EN-GB; mso-bidi-language: AR-SA;"">The Social Impact Co-Investment Fund has been established with the aim of enhancing the supply of early-stage funding to the social impact sector.</span></p>",,0,250,100000,,6,0,25000,"The FSE Group",,http://thefsegroup.com/social-impact-co-investment-fund/,"The FSE Group website","The FSE Group
Riverside House, 4 Meadows Business Park, Station Approach, Blackwater, Camberley, GU17 9AB
01276 608510
socialco@thefsegroup.com"
838,19642,13014,"South East Seed Fund",,"<p>The key investment criteria for the fund are as follows:</p><p>Geography:&nbsp;</p><ul><li>company headquarters must be in the SEEDA geographical region</li><li>a material part of the business must be conducted in the SEEDA region</li><li>the business must be based on research, knowledge or skills from a higher education institution in the SEEDA region</li></ul><p>Status:</p><p>The Fund is open to applications from small and medium enterprises including University spin-outs/spin-ins.&nbsp; An applicant company must be a limited company and not a subsidiary. It should be incorporated in the UK and its shares should not be quoted on any exchange.</p><p>Stage:&nbsp;</p><p>The applicant company may be at any stage but should have reached or passed the point where:</p><ul><li>any critical technology has been demonstrated</li><li>a coherent business plan has been produced that includes identification of a specific market that has been assessed for feasibility</li><li>the route to full commercialisation is clearly defined</li></ul><p>Prospects:</p><p>There should be significant potential for growth (in sales, profits and shareholder value) based on a clear strategy and a scaleable business model there should be a clear and realistic exit strategy for investors within three to five years</p><p>Ventures with long development periods or which require time consuming regulatory approvals are for this reason unlikely to be suitable for investment by the fund.</p><p>Management:</p><ul><li>any gaps in the capabilities of the management team should have been identified and satisfactory strategies proposed to address them</li><li>the team should ideally have a successful track record within the relevant industry and/or in bringing new products to market</li><li>key managers will be expected to demonstrate commitment to the business going forward</li></ul><p>Purpose of funding:</p><p>Funds invested may be used for a range of purposes, typically including:</p><ul><li>initial management salaries</li><li>marketing, establishing/building a sales force or sales activity</li><li>production working capital</li><li>setting up a corporate centre where none yet exists</li><li>installing IT/systems</li></ul><p>Exclusions:&nbsp;</p><p>The Fund will not invest in the following:</p><ul><li>sectors considered likely to bring the fund into disrepute eg businesses involved in tobacco, pornography or armaments&nbsp;</li><li>certain restricted sectors including shipbuilding,steel, coal, and a range of agricultural, fisheries and related activities</li></ul><p>Defence business not involving armaments may be acceptable.</p>","<p>Applications to the fund should be made by completing and returning the application form&nbsp;located on&nbsp;the FSE Group website:</p>","<p>The South East Seed Fund is a £7m equity fund that invests from £75,000 up to £250,000 in small and medium-sized enterprises, which may include university spin-outs/spin-ins.</p><p>Launched in January 2008, the fund operates on a commercial investment return basis and seeks to invest only in opportunities that it believes have the highest potential for success.</p><p>The fund is funded by public and private sector monies.</p>",,0,249,250000,,0,1,75000,"The FSE Group",,http://thefsegroup.com/funding/sme/south-east-seed-fund/,"The FSE Group website","Riverside House
4 Meadows Business Park
Station Approach
Blackwater, Camberley
Surrey
GU17 9AB
Bradley.jones@thefsegroup.com
01276 608510"
